Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
9.0,12.0,14.70279,0.0018,17.160019,15.705351,15.673795,15.567648,15.717786,15.488271,21.0,162.504153,14.702810999999997,162.50409,14.702804999999984
9.0,14.0,12.80977,0.03337,14.546387,13.525369,12.734724,12.754766,13.319086,12.188453,23.0,175.313912,12.809758999999985,175.26943,12.765340000000009
9.0,16.0,8.09373,0.10204,10.799887,9.847075,9.553026,9.649797999999999,9.502654,9.189822999999999,25.0,183.40765,8.093738000000002,183.4691,8.199669999999998
9.0,18.0,2.02652,0.40158,4.223425,4.671898000000001,4.464348,4.832299,4.331143,3.742412,27.0,185.43416399999998,2.0265139999999917,185.95758600000002,2.488486000000023
10.0,8.0,34.8118,0.02048,32.51999,33.873285,34.825646,34.33092199999999,33.182906,36.345934,18.0,132.142626,34.811794000000006,132.143076,34.82192400000001
10.0,10.0,28.50218,0.00036,22.138628,22.380472,22.14354,22.57588,22.742422,23.599165,20.0,160.6448,28.502173999999997,160.6448,28.501723999999996
10.0,12.0,17.12542,2e-05,20.465133,18.784961,19.471261,19.286935,19.080734,19.386299,22.0,177.77023,17.125429999999994,177.77023,17.125429999999994
10.0,14.0,14.06956,0.00051,16.845146,16.399881,15.207127,15.186183,16.368745,14.545018,24.0,191.8398,14.069569999999999,191.83965600000002,14.069426000000021
10.0,16.0,9.70988,0.01844,13.033759,12.45417,12.115023,12.074479,11.876787,11.45636,26.0,201.54966,9.709859999999992,201.60116599999998,9.761509999999959
10.0,18.0,5.32401,0.12741,6.339753,6.954125,6.865089999999999,7.082417,6.277665,5.981225,28.0,206.873688,5.324027999999998,206.92881999999997,5.3276539999999954
10.0,20.0,4.16225,0.28289,4.376636,3.852991,4.069261,4.385873,4.106585,3.649373,30.0,211.03593,4.16224200000002,211.21400999999997,4.28519
11.0,10.0,31.25666,0.01054,25.688303,25.614161,26.095049,26.29558,26.269349,27.364017,21.0,163.076487,31.25667199999998,163.076004,31.25360500000002
11.0,12.0,23.48786,0.0001,23.54143,22.450237,22.884197,22.588962,22.683736,23.090251,23.0,186.56433900000002,23.487852000000032,186.56433900000002,23.488335000000006
11.0,14.0,15.97059,0.0012,19.381986,19.058553,18.003508,18.056137,19.469853,17.751265,25.0,202.53492500000002,15.970585999999997,202.53492500000002,15.970585999999997
11.0,16.0,12.30261,0.00391,15.363728,15.116021,14.69433,14.566904,14.484176,13.886089,27.0,214.837542,12.302616999999998,214.83719100000002,12.302266000000003
11.0,18.0,7.94485,0.00823,8.594494000000001,9.447281,9.402711,9.526539999999999,8.669766000000001,8.570016,29.0,222.782379,7.944836999999978,222.797372,7.960180999999977
11.0,20.0,6.5766,0.01578,6.559367,6.211424,6.504483,6.646727,6.310487,5.94188,31.0,229.35898699999998,6.576607999999993,228.950252,6.15288000000001
11.0,22.0,4.60856,0.45013,5.768836,3.257554,2.109518,3.003625,2.936473,2.705085,33.0,233.967558,4.608571000000012,232.858362,3.9081099999999935
12.0,10.0,34.02026000000001,0.00189,29.03841,28.612711,29.913353,30.046289,29.573204,31.23707,22.0,168.58074200000001,34.020242000000025,168.577772,34.109932000000015
12.0,12.0,29.67627,0.00031,26.426134,25.822634,26.207551,25.847956,26.032585,26.727103,24.0,198.25701600000002,29.676274000000006,198.25701600000002,29.67924400000001
12.0,14.0,18.42361,3e-05,21.584977,21.462352,20.472718,20.690796,22.400436,20.653817,26.0,216.68062000000003,18.42360400000001,216.680672,18.423655999999966
12.0,16.0,14.94694,0.002,17.502946,17.653414,17.057432,16.918475,16.94886,16.180733,28.0,231.627564,14.946943999999974,231.627368,14.946696000000003
12.0,18.0,10.00761,0.00399,10.766089,11.805886,11.875912,11.937675,10.876988,11.111629,30.0,241.63518,10.007615999999985,241.66203,10.034661999999997
12.0,20.0,8.08771,0.00474,8.622089,8.490022999999999,8.798426,8.834171000000001,8.391926,8.170291,32.0,249.72288,8.087700000000012,249.848768,8.18673800000002
12.0,22.0,6.99039,0.02906,8.018569,5.381908,4.235897,5.072278,4.905196,4.616307,34.0,256.71326,6.990379999999988,256.228012,6.3792439999999715
13.0,12.0,31.80668,0.00035,28.936161,28.38723,28.954512,28.66312,29.047411,29.604345,25.0,200.5284,31.80667900000003,200.52859999999998,31.82838399999997
13.0,14.0,24.42352,8e-05,25.031497,24.617593,24.119222,24.220947,25.462542,24.517229,27.0,224.951931,24.423530999999997,224.951715,24.423115000000024
13.0,16.0,17.15353,0.00035,19.920102,20.136779,19.682807,19.594896,19.582226,19.102712,29.0,242.105456,17.153525000000002,242.113025,17.161309999999986
13.0,18.0,12.88558,0.00226,13.027262,15.301616,14.315084,14.288538,13.319167,13.678116,31.0,254.991027,12.885570999999999,254.993941,12.880916000000013
13.0,20.0,9.68931,0.00734,10.809905,9.791971,11.244031,11.144144,10.649731,10.615698,33.0,264.68032800000003,9.689301000000029,264.71233800000005,9.718397000000039
